,symbol
0,CIAO2B
1,ZNF750
2,GAK
3,SLC15A3
4,HIVEP1
5,TAPT1
6,SKP1
7,TAX1BP3
8,POLR3K
9,KAT6A
10,SLC18B1
11,KRT10
12,PDSS2
13,USE1
14,U2AF1L4
15,COQ7
16,THOC3
17,RSRC2
18,RPS12
19,ROMO1
20,ADAT3
21,MRPS24
22,CACTIN
23,CDC123
24,SLC16A1
25,DDX20
26,ACLY
27,TOP2A
28,SRSF2
29,SMAD7
30,MOG
31,RSRP1
32,AGAP9
33,KCNJ11
34,C16orf86
35,RRAGA
36,AAR2
37,PYROXD1
38,BRCA1
39,DHFR2
40,PES1
41,PEX1
42,KMT2B
43,NGLY1
44,ALKBH1
45,ATP6AP1
46,MOSMO
47,KIFC1
48,OR1D5
49,USP45
50,AUTS2
51,SUPT16H
52,CEPT1
53,POTEM
54,TRRAP
55,GDAP2
56,RAB21
57,RAB36
58,LRRC75A
59,SRSF11
60,SP5
61,TRAPPC1
62,NCAPD2
63,RPL36AL
64,MED11
65,TEDC1
66,CPSF3
67,CTU1
68,EXTL3
69,CDS2
70,NAA35
71,ZNF22
72,KLF9
73,CDC6
74,CHP1
75,AGPAT3
76,LSM12
77,RIOK2
78,OR4A5
79,GRPEL1
80,BRCA2
81,YKT6
82,EPC2
83,CRYBA1
84,KCNT1
85,ZBTB1
86,TP53BP1
87,DMAC1
88,NONO
89,ANKHD1
90,RPL5
91,VEZF1
92,ZNF254
93,NUP205
94,SUGT1
95,FGD1
96,WASF2
97,PSEN1
98,CNTNAP3B
99,SIT1
100,TIMM13
101,STN1
102,VPS28
103,CSNK2A1
104,ATP5F1E
105,ECT2
106,CITED1
107,FBXL18
108,POLA2
109,EPG5
110,BCL11A
111,KLF10
112,WASHC4
113,SPDYE1
114,STXBP3
115,CYP2A13
116,MAPK7
117,ASAP1
118,CPSF2
119,GID8
120,SMPD2
121,GP1BB
122,EIF5B
123,PNRC2
124,MRPS34
125,PLTP
126,ZNF205
127,EIF3M
128,SCRT1
129,LPCAT3
130,HES1
131,LSM8
132,PTPA
133,SLC4A1AP
134,ASF1A
135,KIF11
136,CPLANE1
137,STMN1
138,AGPAT1
139,SOS1
140,NCAPH2
141,RAD23B
142,CCDC181
143,RPL4
144,CUL4B
145,C2CD4B
146,PLCB2
147,DNAJB11
148,ALG3
149,FAM173B
150,MRPS23
151,KRAS
152,RBBP7
153,SYNJ2
