Unnamed: 0,avg_transfer_cn,RMSE_avg,MSE_avg,Pearsonr_avg,Pearsonr_pvalue_avg,Spearmanr_avg,Spearmanr_pvalue_avg,R_square_avg
cn_A1BG,avg_transfer_cn,0.096699,0.009868,0.887985,1.06E-44,0.846704,5.65E-33,0.649864
cn_POU5F1P5,avg_transfer_cn,0.067179,0.005088,0.889952,3.18E-37,0.849811,3.69E-30,0.774829
cn_ZBTB11-AS1,avg_transfer_cn,0.083483,0.007531,0.832238,2.34E-17,0.795421,3.33E-16,0.566047
cn_MED6,avg_transfer_cn,0.073556,0.006162,0.910439,7.18E-47,0.890681,1.52E-42,0.795896
cn_NR2E3,avg_transfer_cn,0.062883,0.004273,0.848471,2.87E-23,0.830408,1.53E-24,0.72605
cn_NAALAD2,avg_transfer_cn,0.114531,0.014263,0.835719,1.46E-17,0.79917,9.30E-24,0.611237
cn_DUXB,avg_transfer_cn,0.075599,0.0058,0.919623,2.66E-53,0.887204,1.72E-39,0.76787
cn_SNORD116-1,avg_transfer_cn,0.086344,0.007656,0.806724,2.34E-17,0.77726,6.91E-14,0.565759
cn_SNORD116-2,avg_transfer_cn,0.100315,0.010647,0.809223,3.06E-18,0.778134,1.24E-14,0.459973
cn_SNORD116-3,avg_transfer_cn,0.07824,0.006418,0.803578,1.14E-17,0.770874,6.62E-14,0.623209
cn_SNORD116-4,avg_transfer_cn,0.084857,0.007295,0.804265,6.96E-17,0.768145,1.74E-12,0.592761
cn_NAT2,avg_transfer_cn,0.091987,0.00943,0.914237,1.33E-46,0.917435,3.17E-61,0.794986
cn_ADA,avg_transfer_cn,0.093245,0.009724,0.911811,2.61E-51,0.897164,1.07E-48,0.765619
cn_CDH2,avg_transfer_cn,0.100588,0.011395,0.853695,2.50E-28,0.823318,3.75E-27,0.695913
cn_AKT3,avg_transfer_cn,0.118281,0.016645,0.862362,3.98E-34,0.834146,2.06E-28,0.645569
cn_GAGE12F,avg_transfer_cn,0.155702,0.028878,0.772344,1.34E-10,0.781958,1.49E-12,0.554027
cn_RNA5-8SN5,avg_transfer_cn,0.174651,0.035535,0.724662,1.90E-07,0.711839,3.89E-15,0.481635
cn_RNA18SN5,avg_transfer_cn,0.161739,0.03018,0.744736,2.82E-08,0.729038,1.54E-15,0.552604
cn_RNA28SN5,avg_transfer_cn,0.170652,0.034611,0.739345,2.10E-07,0.722528,7.91E-14,0.495517
cn_LINC02584,avg_transfer_cn,0.198274,0.042832,0.827712,7.04E-27,0.7121,2.16E-20,0.644458
